yourlist:M202005078BC4D7ADE02784B0C2481C7F3DE0963A1A0CE37	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q9NXX6	Q9NXX6	NSE4A_HUMAN	reviewed	Non-structural maintenance of chromosomes element 4 homolog A (NS4EA) (Non-SMC element 4 homolog A)	NSMCE4A C10orf86 PP4762	Homo sapiens (Human)	385
Q9P0J7	Q9P0J7	KCMF1_HUMAN	reviewed	E3 ubiquitin-protein ligase KCMF1 (EC 2.3.2.27) (FGF-induced in gastric cancer) (Potassium channel modulatory factor) (PCMF) (RING-type E3 ubiquitin transferase KCMF1) (ZZ-type zinc finger-containing protein 1)	KCMF1 FIGC ZZZ1	Homo sapiens (Human)	381
Q96P64	Q96P64	AGAP4_HUMAN	reviewed	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 4 (AGAP-4) (Centaurin-gamma-like family member 1) (Centaurin-gamma-like family member 5)	AGAP4 AGAP8 CTGLF1 CTGLF5 MRIP2	Homo sapiens (Human)	663
Q9NX46	Q9NX46	ADPRS_HUMAN	reviewed	ADP-ribose glycohydrolase ARH3 (ADP-ribosylhydrolase 3) (O-acetyl-ADP-ribose deacetylase ARH3) (EC 3.5.1.-) (Poly(ADP-ribose) glycohydrolase ARH3) (EC 3.2.1.143) ([Protein ADP-ribosylarginine] hydrolase-like protein 2) ([Protein ADP-ribosylserine] hydrolase) (EC 3.2.2.-)	ADPRS ADPRHL2 ARH3	Homo sapiens (Human)	363
Q9NQ50	Q9NQ50	RM40_HUMAN	reviewed	39S ribosomal protein L40, mitochondrial (L40mt) (MRP-L40) (Mitochondrial large ribosomal subunit protein mL40) (Nuclear localization signal-containing protein deleted in velocardiofacial syndrome) (Up-regulated in metastasis)	MRPL40 NLVCF URIM	Homo sapiens (Human)	206
Q7L0X2	Q7L0X2	ERIP6_HUMAN	reviewed	Glutamate-rich protein 6 (Protein FAM194A)	ERICH6 C3orf44 FAM194A	Homo sapiens (Human)	663
P35626	P35626	ARBK2_HUMAN	reviewed	Beta-adrenergic receptor kinase 2 (Beta-ARK-2) (EC 2.7.11.15) (G-protein-coupled receptor kinase 3)	GRK3 ADRBK2 BARK2	Homo sapiens (Human)	688
Q8NE79	Q8NE79	POPD1_HUMAN	reviewed	Blood vessel epicardial substance (hBVES) (Popeye domain-containing protein 1) (Popeye protein 1)	BVES POP1 POPDC1	Homo sapiens (Human)	360
Q6ZP65	Q6ZP65	BICL1_HUMAN	reviewed	BICD family-like cargo adapter 1 (Bicaudal D-related protein 1) (BICD-related protein 1) (BICDR-1) (Coiled-coil domain-containing protein 64A) (CCDC64A)	BICDL1 BICDR1 CCDC64	Homo sapiens (Human)	573
Q2TAA8	Q2TAA8	TXIP1_HUMAN	reviewed	Translin-associated factor X-interacting protein 1 (Trax-interacting protein 1)	TSNAXIP1 TXI1	Homo sapiens (Human)	658
Q15057	Q15057	ACAP2_HUMAN	reviewed	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 (Centaurin-beta-2) (Cnt-b2)	ACAP2 CENTB2 KIAA0041	Homo sapiens (Human)	778
Q92527	Q92527	ANKR7_HUMAN	reviewed	Ankyrin repeat domain-containing protein 7 (Testis-specific protein TSA806)	ANKRD7	Homo sapiens (Human)	254
Q86V48	Q86V48	LUZP1_HUMAN	reviewed	Leucine zipper protein 1	LUZP1	Homo sapiens (Human)	1076
Q9NSE4	Q9NSE4	SYIM_HUMAN	reviewed	Isoleucine--tRNA ligase, mitochondrial (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	IARS2	Homo sapiens (Human)	1012
Q8N584	Q8N584	TT39C_HUMAN	reviewed	Tetratricopeptide repeat protein 39C (TPR repeat protein 39C)	TTC39C C18orf17	Homo sapiens (Human)	583
Q96KW9	Q96KW9	SPAC7_HUMAN	reviewed	Sperm acrosome-associated protein 7	SPACA7 C13orf28	Homo sapiens (Human)	195
Q9P0W8	Q9P0W8	SPAT7_HUMAN	reviewed	Spermatogenesis-associated protein 7 (HSD-3.1) (Spermatogenesis-associated protein HSD3)	SPATA7 HSD3	Homo sapiens (Human)	599
P51790	P51790	CLCN3_HUMAN	reviewed	H(+)/Cl(-) exchange transporter 3 (Chloride channel protein 3) (ClC-3) (Chloride transporter ClC-3)	CLCN3	Homo sapiens (Human)	818
P43080	P43080	GUC1A_HUMAN	reviewed	Guanylyl cyclase-activating protein 1 (GCAP 1) (Guanylate cyclase activator 1A)	GUCA1A C6orf131 GCAP GCAP1 GUCA1	Homo sapiens (Human)	201
Q8N9W8	Q8N9W8	FA71D_HUMAN	reviewed	Protein FAM71D	FAM71D C14orf54	Homo sapiens (Human)	422
Q6ZWH5	Q6ZWH5	NEK10_HUMAN	reviewed	Serine/threonine-protein kinase Nek10 (EC 2.7.11.1) (Never in mitosis A-related kinase 10) (NimA-related protein kinase 10)	NEK10	Homo sapiens (Human)	1172
Q8TBY9	Q8TBY9	CF251_HUMAN	reviewed	Cilia- and flagella-associated protein 251 (CFAP251) (WD repeat-containing protein 66)	WDR66 CFAP251	Homo sapiens (Human)	1149
Q13822	Q13822	ENPP2_HUMAN	reviewed	Ectonucleotide pyrophosphatase/phosphodiesterase family member 2 (E-NPP 2) (EC 3.1.4.39) (Autotaxin) (Extracellular lysophospholipase D) (LysoPLD)	ENPP2 ATX PDNP2	Homo sapiens (Human)	863
Q96P47	Q96P47	AGAP3_HUMAN	reviewed	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3 (AGAP-3) (CRAM-associated GTPase) (CRAG) (Centaurin-gamma-3) (Cnt-g3) (MR1-interacting protein) (MRIP-1)	AGAP3 CENTG3	Homo sapiens (Human)	875
Q9UKF6	Q9UKF6	CPSF3_HUMAN	reviewed	Cleavage and polyadenylation specificity factor subunit 3 (EC 3.1.27.-) (Cleavage and polyadenylation specificity factor 73 kDa subunit) (CPSF 73 kDa subunit) (mRNA 3'-end-processing endonuclease CPSF-73)	CPSF3 CPSF73	Homo sapiens (Human)	684
P55000	P55000	SLUR1_HUMAN	reviewed	Secreted Ly-6/uPAR-related protein 1 (SLURP-1) (ARS component B) (ARS(component B)-81/S) (Anti-neoplastic urinary protein) (ANUP)	SLURP1 ARS	Homo sapiens (Human)	103
P08519	P08519	APOA_HUMAN	reviewed	Apolipoprotein(a) (Apo(a)) (Lp(a)) (EC 3.4.21.-)	LPA	Homo sapiens (Human)	4548
Q5U649	Q5U649	CL060_HUMAN	reviewed	Uncharacterized protein C12orf60	C12orf60	Homo sapiens (Human)	245
Q96EF6	Q96EF6	FBX17_HUMAN	reviewed	F-box only protein 17 (F-box only protein 26)	FBXO17 FBG4 FBX17 FBX26 FBXO26	Homo sapiens (Human)	278
Q96CP1	Q96CP1	Q96CP1_HUMAN	unreviewed	RELA protein	RELA	Homo sapiens (Human)	246
Q8N695	Q8N695	SC5A8_HUMAN	reviewed	Sodium-coupled monocarboxylate transporter 1 (Apical iodide transporter) (Electrogenic sodium monocarboxylate cotransporter) (Sodium iodide-related cotransporter) (Solute carrier family 5 member 8)	SLC5A8 AIT SMCT SMCT1	Homo sapiens (Human)	610
Q86WV7	Q86WV7	Q86WV7_HUMAN	unreviewed	CCDC43 protein (Coiled-coil domain-containing protein 43)	CCDC43	Homo sapiens (Human)	227
Q8NI17	Q8NI17	IL31R_HUMAN	reviewed	Interleukin-31 receptor subunit alpha (IL-31 receptor subunit alpha) (IL-31R subunit alpha) (IL-31R-alpha) (IL-31RA) (Cytokine receptor-like 3) (GLM-R) (hGLM-R) (Gp130-like monocyte receptor) (Gp130-like receptor) (ZcytoR17)	IL31RA CRL3 GPL UNQ6368/PRO21073/PRO21384	Homo sapiens (Human)	732
Q8WW55	Q8WW55	Q8WW55_HUMAN	unreviewed	STAT5B protein		Homo sapiens (Human)	390
Q9H2F5	Q9H2F5	EPC1_HUMAN	reviewed	Enhancer of polycomb homolog 1	EPC1	Homo sapiens (Human)	836
Q9NUU7	Q9NUU7	DD19A_HUMAN	reviewed	ATP-dependent RNA helicase DDX19A (EC 3.6.4.13) (DDX19-like protein) (DEAD box protein 19A)	DDX19A DDX19L	Homo sapiens (Human)	478
V9HWD0	V9HWD0	V9HWD0_HUMAN	unreviewed	Epididymis secretory protein Li 42 (Ras homolog gene family, member Q, isoform CRA_d)	HEL-S-42 RHOQ hCG_1995863	Homo sapiens (Human)	205
Q5TBC7	Q5TBC7	B2L15_HUMAN	reviewed	Bcl-2-like protein 15 (Bcl2-L-15)	BCL2L15 C1orf178	Homo sapiens (Human)	163
Q9NQX5	Q9NQX5	NPDC1_HUMAN	reviewed	Neural proliferation differentiation and control protein 1 (NPDC-1)	NPDC1	Homo sapiens (Human)	325
Q658K8	Q658K8	EF1DL_HUMAN	reviewed	Putative elongation factor 1-delta-like protein (Putative EF-1-delta-like pseudogene 3 protein)	EEF1DP3	Homo sapiens (Human)	133
Q5U0E4	Q5U0E4	Q5U0E4_HUMAN	unreviewed	Cellular tumor antigen p53		Homo sapiens (Human)	393
Q8TDX5	Q8TDX5	ACMSD_HUMAN	reviewed	2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (EC 4.1.1.45) (Picolinate carboxylase)	ACMSD	Homo sapiens (Human)	336
Q9Y694	Q9Y694	S22A7_HUMAN	reviewed	Solute carrier family 22 member 7 (Novel liver transporter) (Organic anion transporter 2) (hOAT2)	SLC22A7 NLT OAT2	Homo sapiens (Human)	548
Q96BA4	Q96BA4	Q96BA4_HUMAN	unreviewed	NUCB1 protein		Homo sapiens (Human)	176
Q9UQ72	Q9UQ72	PSG11_HUMAN	reviewed	Pregnancy-specific beta-1-glycoprotein 11 (PS-beta-G-11) (PSBG-11) (Pregnancy-specific glycoprotein 11) (Pregnancy-specific beta-1-glycoprotein 13) (PS-beta-G-13) (PSBG-13) (Pregnancy-specific glycoprotein 13)	PSG11 PSG13 PSG14	Homo sapiens (Human)	335
Q9UPN9	Q9UPN9	TRI33_HUMAN	reviewed	E3 ubiquitin-protein ligase TRIM33 (EC 2.3.2.27) (Ectodermin homolog) (RET-fused gene 7 protein) (Protein Rfg7) (RING-type E3 ubiquitin transferase TRIM33) (Transcription intermediary factor 1-gamma) (TIF1-gamma) (Tripartite motif-containing protein 33)	TRIM33 KIAA1113 RFG7 TIF1G	Homo sapiens (Human)	1127
Q8TAM2	Q8TAM2	TTC8_HUMAN	reviewed	Tetratricopeptide repeat protein 8 (TPR repeat protein 8) (Bardet-Biedl syndrome 8 protein)	TTC8 BBS8	Homo sapiens (Human)	541
Q8N3I7	Q8N3I7	BBS5_HUMAN	reviewed	Bardet-Biedl syndrome 5 protein	BBS5	Homo sapiens (Human)	341
Q8TCD5	Q8TCD5	NT5C_HUMAN	reviewed	5'(3')-deoxyribonucleotidase, cytosolic type (EC 3.1.3.-) (Cytosolic 5',3'-pyrimidine nucleotidase) (Deoxy-5'-nucleotidase 1) (dNT-1)	NT5C DNT1 UMPH2	Homo sapiens (Human)	201
Q9HCS5	Q9HCS5	E41LA_HUMAN	reviewed	Band 4.1-like protein 4A (Protein NBL4)	EPB41L4A EPB41L4	Homo sapiens (Human)	686
Q9GZX9	Q9GZX9	TWSG1_HUMAN	reviewed	Twisted gastrulation protein homolog 1	TWSG1 TSG PSEC0250	Homo sapiens (Human)	223
Q9BYR8	Q9BYR8	KRA31_HUMAN	reviewed	Keratin-associated protein 3-1 (High sulfur keratin-associated protein 3.1) (Keratin-associated protein 3.1)	KRTAP3-1 KAP3.1 KRTAP3.1	Homo sapiens (Human)	98
Q9NQW6	Q9NQW6	ANLN_HUMAN	reviewed	Anillin	ANLN	Homo sapiens (Human)	1124
Q9BXJ4	Q9BXJ4	C1QT3_HUMAN	reviewed	Complement C1q tumor necrosis factor-related protein 3 (Collagenous repeat-containing sequence 26 kDa protein) (CORS26) (Secretory protein CORS26)	C1QTNF3 CTRP3 UNQ753/PRO1484	Homo sapiens (Human)	246
Q5SZD1	Q5SZD1	CF141_HUMAN	reviewed	Uncharacterized protein C6orf141	C6orf141	Homo sapiens (Human)	244
Q9Y6A2	Q9Y6A2	CP46A_HUMAN	reviewed	Cholesterol 24-hydroxylase (CH24H) (EC 1.14.14.25) (Cholesterol 24-monooxygenase) (Cholesterol 24S-hydroxylase) (Cytochrome P450 46A1)	CYP46A1 CYP46	Homo sapiens (Human)	500
Q9UPG8	Q9UPG8	PLAL2_HUMAN	reviewed	Zinc finger protein PLAGL2 (Pleiomorphic adenoma-like protein 2)	PLAGL2 KIAA0198	Homo sapiens (Human)	496
Q9H7T9	Q9H7T9	AUNIP_HUMAN	reviewed	Aurora kinase A and ninein-interacting protein (AIBp)	AUNIP C1orf135	Homo sapiens (Human)	357
Q9BQE3	Q9BQE3	TBA1C_HUMAN	reviewed	Tubulin alpha-1C chain (Alpha-tubulin 6) (Tubulin alpha-6 chain) [Cleaved into: Detyrosinated tubulin alpha-1C chain]	TUBA1C TUBA6	Homo sapiens (Human)	449
Q96H72	Q96H72	S39AD_HUMAN	reviewed	Zinc transporter ZIP13 (LIV-1 subfamily of ZIP zinc transporter 9) (LZT-Hs9) (Solute carrier family 39 member 13) (Zrt- and Irt-like protein 13) (ZIP-13)	SLC39A13 ZIP13	Homo sapiens (Human)	371
Q8WVB6	Q8WVB6	CTF18_HUMAN	reviewed	Chromosome transmission fidelity protein 18 homolog (hCTF18) (CHL12)	CHTF18 C16orf41 CTF18	Homo sapiens (Human)	975
Q8NEJ0	Q8NEJ0	DUS18_HUMAN	reviewed	Dual specificity protein phosphatase 18 (EC 3.1.3.16) (EC 3.1.3.48) (Low molecular weight dual specificity phosphatase 20) (LMW-DSP20)	DUSP18 LMWDSP20	Homo sapiens (Human)	188
Q8NE22	Q8NE22	SETD9_HUMAN	reviewed	SET domain-containing protein 9 (EC 2.1.1.-)	SETD9 C5orf35	Homo sapiens (Human)	299
Q5T1N1	Q5T1N1	AKND1_HUMAN	reviewed	Protein AKNAD1	AKNAD1 C1orf62	Homo sapiens (Human)	836
Q9H0V1	Q9H0V1	TM168_HUMAN	reviewed	Transmembrane protein 168	TMEM168	Homo sapiens (Human)	697
Q9Y5E4	Q9Y5E4	PCDB5_HUMAN	reviewed	Protocadherin beta-5 (PCDH-beta-5)	PCDHB5	Homo sapiens (Human)	795
Q9UHJ3	Q9UHJ3	SMBT1_HUMAN	reviewed	Scm-like with four MBT domains protein 1 (hSFMBT) (Renal ubiquitous protein 1)	SFMBT1 RU1	Homo sapiens (Human)	866
Q9NVE4	Q9NVE4	CCD87_HUMAN	reviewed	Coiled-coil domain-containing protein 87	CCDC87	Homo sapiens (Human)	849
Q99645	Q99645	EPYC_HUMAN	reviewed	Epiphycan (Dermatan sulfate proteoglycan 3) (Proteoglycan-Lb) (PG-Lb) (Small chondroitin/dermatan sulfate proteoglycan)	EPYC DSPG3 PGLB SLRR3B	Homo sapiens (Human)	322
Q8IXS0	Q8IXS0	F217A_HUMAN	reviewed	Protein FAM217A	FAM217A C6orf146	Homo sapiens (Human)	508
Q86WK9	Q86WK9	PAQR7_HUMAN	reviewed	Membrane progestin receptor alpha (mPR alpha) (Membrane progesterone P4 receptor alpha) (Membrane progesterone receptor alpha) (Progesterone and adipoQ receptor family member 7) (Progestin and adipoQ receptor family member 7) (Progestin and adipoQ receptor family member VII)	PAQR7 MRPA	Homo sapiens (Human)	346
Q9BTX1	Q9BTX1	NDC1_HUMAN	reviewed	Nucleoporin NDC1 (hNDC1) (Transmembrane protein 48)	NDC1 TMEM48	Homo sapiens (Human)	674
Q9NPE6	Q9NPE6	SPAG4_HUMAN	reviewed	Sperm-associated antigen 4 protein (Outer dense fiber-associated protein SPAG4) (SUN domain-containing protein 4)	SPAG4 SUN4	Homo sapiens (Human)	437
Q8TAD4	Q8TAD4	ZNT5_HUMAN	reviewed	Zinc transporter 5 (ZnT-5) (Solute carrier family 30 member 5) (ZnT-like transporter 1) (hZTL1)	SLC30A5 ZNT5 ZNTL1 ZTL1 UNQ863/PRO1879	Homo sapiens (Human)	765
Q9GZT4	Q9GZT4	SRR_HUMAN	reviewed	Serine racemase (EC 5.1.1.18) (D-serine ammonia-lyase) (D-serine dehydratase) (EC 4.3.1.18) (L-serine ammonia-lyase) (L-serine dehydratase) (EC 4.3.1.17)	SRR	Homo sapiens (Human)	340
Q5VV52	Q5VV52	ZN691_HUMAN	reviewed	Zinc finger protein 691	ZNF691	Homo sapiens (Human)	315
P51797	P51797	CLCN6_HUMAN	reviewed	Chloride transport protein 6 (Chloride channel protein 6) (ClC-6)	CLCN6 KIAA0046	Homo sapiens (Human)	869
Q9P2T1	Q9P2T1	GMPR2_HUMAN	reviewed	GMP reductase 2 (GMPR 2) (EC 1.7.1.7) (Guanosine 5'-monophosphate oxidoreductase 2) (Guanosine monophosphate reductase 2)	GMPR2	Homo sapiens (Human)	348
Q8IW90	Q8IW90	Q8IW90_HUMAN	unreviewed	MTCH1 protein (Fragment)	MTCH1	Homo sapiens (Human)	409
Q96DR8	Q96DR8	MUCL1_HUMAN	reviewed	Mucin-like protein 1 (Protein BS106) (Small breast epithelial mucin)	MUCL1 SBEM UNQ590/PRO1160	Homo sapiens (Human)	90
Q8N6N2	Q8N6N2	TTC9B_HUMAN	reviewed	Tetratricopeptide repeat protein 9B (TPR repeat protein 9B)	TTC9B	Homo sapiens (Human)	239
Q9UPT6	Q9UPT6	JIP3_HUMAN	reviewed	C-Jun-amino-terminal kinase-interacting protein 3 (JIP-3) (JNK-interacting protein 3) (JNK MAP kinase scaffold protein 3) (Mitogen-activated protein kinase 8-interacting protein 3)	MAPK8IP3 JIP3 KIAA1066	Homo sapiens (Human)	1336
Q9UHG2	Q9UHG2	PCS1N_HUMAN	reviewed	ProSAAS (Proprotein convertase subtilisin/kexin type 1 inhibitor) (Proprotein convertase 1 inhibitor) (pro-SAAS) [Cleaved into: KEP; Big SAAS (b-SAAS); Little SAAS (l-SAAS) (N-proSAAS); Big PEN-LEN (b-PEN-LEN) (SAAS CT(1-49)); PEN; Little LEN (l-LEN); Big LEN (b-LEN) (SAAS CT(25-40))]	PCSK1N	Homo sapiens (Human)	260
Q8IXJ6	Q8IXJ6	SIR2_HUMAN	reviewed	NAD-dependent protein deacetylase sirtuin-2 (EC 2.3.1.286) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2)	SIRT2 SIR2L SIR2L2	Homo sapiens (Human)	389
Q8N465	Q8N465	D2HDH_HUMAN	reviewed	D-2-hydroxyglutarate dehydrogenase, mitochondrial (EC 1.1.99.-)	D2HGDH D2HGD	Homo sapiens (Human)	521
Q96DZ1	Q96DZ1	ERLEC_HUMAN	reviewed	Endoplasmic reticulum lectin 1 (ER lectin) (Erlectin) (XTP3-transactivated gene B protein)	ERLEC1 C2orf30 XTP3TPB UNQ1878/PRO4321	Homo sapiens (Human)	483
Q9BWQ8	Q9BWQ8	LFG2_HUMAN	reviewed	Protein lifeguard 2 (Fas apoptotic inhibitory molecule 2) (Neural membrane protein 35) (Transmembrane BAX inhibitor motif-containing protein 2)	FAIM2 KIAA0950 LFG LFG2 NMP35 TMBIM2	Homo sapiens (Human)	316
Q96GD0	Q96GD0	PLPP_HUMAN	reviewed	Pyridoxal phosphate phosphatase (PLP phosphatase) (EC 3.1.3.3) (EC 3.1.3.74) (Chronophin)	PDXP CIN PLP PLPP	Homo sapiens (Human)	296
Q9HCY8	Q9HCY8	S10AE_HUMAN	reviewed	Protein S100-A14 (S100 calcium-binding protein A14) (S114)	S100A14 S100A15	Homo sapiens (Human)	104
Q96KN1	Q96KN1	LRAT2_HUMAN	reviewed	Protein LRATD2 (Breast cancer membrane protein 101) (LRAT domain-containing 2) (Protein FAM84B) (Protein NSE2)	LRATD2 BCMP101 FAM84B NSE2	Homo sapiens (Human)	310
Q9UKQ9	Q9UKQ9	KLK9_HUMAN	reviewed	Kallikrein-9 (EC 3.4.21.-) (Kallikrein-like protein 3) (KLK-L3)	KLK9	Homo sapiens (Human)	250
Q9UI38	Q9UI38	TSP50_HUMAN	reviewed	Probable threonine protease PRSS50 (EC 3.4.25.-) (Cancer/testis antigen 20) (Serine protease 50) (Testis-specific protease-like protein 50)	PRSS50 CT20 TSP50	Homo sapiens (Human)	385
Q86UY6	Q86UY6	NAA40_HUMAN	reviewed	N-alpha-acetyltransferase 40 (EC 2.3.1.257) (N-acetyltransferase 11) (N-alpha-acetyltransferase D) (NatD) (hNatD) (Protein acetyltransferase 1)	NAA40 NAT11 PATT1	Homo sapiens (Human)	237
Q96JG6	Q96JG6	VPS50_HUMAN	reviewed	Syndetin (Coiled-coil domain-containing protein 132) (EARP/GARPII complex subunit VPS50)	VPS50 CCDC132 KIAA1861	Homo sapiens (Human)	964
Q9P1Q0	Q9P1Q0	VPS54_HUMAN	reviewed	Vacuolar protein sorting-associated protein 54 (Hepatocellular carcinoma protein 8) (Tumor antigen HOM-HCC-8) (Tumor antigen SLP-8p)	VPS54 HCC8	Homo sapiens (Human)	977
Q6P988	Q6P988	NOTUM_HUMAN	reviewed	Palmitoleoyl-protein carboxylesterase NOTUM (EC 3.1.1.98) (hNOTUM)	NOTUM OK/SW-CL.30	Homo sapiens (Human)	496
Q8IYK2	Q8IYK2	CC105_HUMAN	reviewed	Coiled-coil domain-containing protein 105	CCDC105	Homo sapiens (Human)	499
Q9BZQ2	Q9BZQ2	SHP1L_HUMAN	reviewed	Testicular spindle-associated protein SHCBP1L (SHC SH2 domain-binding protein 1-like protein)	SHCBP1L C1orf14	Homo sapiens (Human)	653
Q96SR6	Q96SR6	ZN382_HUMAN	reviewed	Zinc finger protein 382 (KRAB/zinc finger suppressor protein 1) (KS1) (Multiple zinc finger and krueppel-associated box protein KS1)	ZNF382	Homo sapiens (Human)	550
Q96JC4	Q96JC4	ZN479_HUMAN	reviewed	Zinc finger protein 479 (Zinc finger protein Kr19) (HKr19)	ZNF479	Homo sapiens (Human)	524
Q9HCD6	Q9HCD6	TANC2_HUMAN	reviewed	Protein TANC2 (Tetratricopeptide repeat, ankyrin repeat and coiled-coil domain-containing protein 2)	TANC2 KIAA1148 KIAA1636	Homo sapiens (Human)	1990
Q9BZG1	Q9BZG1	RAB34_HUMAN	reviewed	Ras-related protein Rab-34 (Ras-related protein Rab-39) (Ras-related protein Rah)	RAB34 RAB39 RAH	Homo sapiens (Human)	259
Q9UH73	Q9UH73	COE1_HUMAN	reviewed	Transcription factor COE1 (O/E-1) (OE-1) (Early B-cell factor)	EBF1 COE1 EBF	Homo sapiens (Human)	591
Q9BQG2	Q9BQG2	NUD12_HUMAN	reviewed	Peroxisomal NADH pyrophosphatase NUDT12 (EC 3.6.1.22) (Nucleoside diphosphate-linked moiety X motif 12) (Nudix motif 12)	NUDT12	Homo sapiens (Human)	462
Q9Y4Z2	Q9Y4Z2	NGN3_HUMAN	reviewed	Neurogenin-3 (NGN-3) (Class A basic helix-loop-helix protein 7) (bHLHa7) (Protein atonal homolog 5)	NEUROG3 ATOH5 BHLHA7 NGN3	Homo sapiens (Human)	214
Q6P2R3	Q6P2R3	Q6P2R3_HUMAN	unreviewed	C6orf182 protein (Centrosomal protein CEP57L1) (Chromosome 6 open reading frame 182, isoform CRA_c)	CEP57L1 C6orf182 hCG_34126	Homo sapiens (Human)	251
Q96EY8	Q96EY8	MMAB_HUMAN	reviewed	Corrinoid adenosyltransferase (EC 2.5.1.17) (Cob(II)alamin adenosyltransferase) (Cob(II)yrinic acid a,c-diamide adenosyltransferase) (Cobinamide/cobalamin adenosyltransferase) (Methylmalonic aciduria type B protein)	MMAB	Homo sapiens (Human)	250
Q8IYT4	Q8IYT4	KATL2_HUMAN	reviewed	Katanin p60 ATPase-containing subunit A-like 2 (Katanin p60 subunit A-like 2) (EC 5.6.1.1) (p60 katanin-like 2)	KATNAL2	Homo sapiens (Human)	538
Q8WWX8	Q8WWX8	SC5AB_HUMAN	reviewed	Sodium/myo-inositol cotransporter 2 (Na(+)/myo-inositol cotransporter 2) (Sodium-dependent glucose cotransporter) (Sodium/glucose cotransporter KST1) (Sodium/myo-inositol transporter 2) (SMIT2) (Solute carrier family 5 member 11)	SLC5A11 KST1 SLGTX SMIT2	Homo sapiens (Human)	675
Q8NDX1	Q8NDX1	PSD4_HUMAN	reviewed	PH and SEC7 domain-containing protein 4 (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6 B) (Exchange factor for ARF6 B) (Pleckstrin homology and SEC7 domain-containing protein 4) (Telomeric of interleukin-1 cluster protein)	PSD4 EFA6B TIC	Homo sapiens (Human)	1056
Q9NVH2	Q9NVH2	INT7_HUMAN	reviewed	Integrator complex subunit 7 (Int7)	INTS7 C1orf73	Homo sapiens (Human)	962
O60294	O60294	TYW4_HUMAN	reviewed	tRNA wybutosine-synthesizing protein 4 (tRNA yW-synthesizing protein 4) (EC 2.1.1.290) (EC 2.3.1.231) (Leucine carboxyl methyltransferase 2) (tRNA(Phe) (7-(3-amino-3-(methoxycarbonyl)propyl)wyosine(37)-N)-methoxycarbonyltransferase) (tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-O)-methyltransferase)	LCMT2 KIAA0547 TYW4	Homo sapiens (Human)	686
Q9UJ71	Q9UJ71	CLC4K_HUMAN	reviewed	C-type lectin domain family 4 member K (Langerin) (CD antigen CD207)	CD207 CLEC4K	Homo sapiens (Human)	328
P40259	P40259	CD79B_HUMAN	reviewed	B-cell antigen receptor complex-associated protein beta chain (B-cell-specific glycoprotein B29) (Ig-beta) (Immunoglobulin-associated B29 protein) (CD antigen CD79b)	CD79B B29 IGB	Homo sapiens (Human)	229
Q8N490	Q8N490	PNKD_HUMAN	reviewed	Probable hydrolase PNKD (EC 3.-.-.-) (Myofibrillogenesis regulator 1) (MR-1) (Paroxysmal nonkinesiogenic dyskinesia protein) (Trans-activated by hepatitis C virus core protein 2)	PNKD KIAA1184 MR1 TAHCCP2 FKSG19 UNQ2491/PRO5778	Homo sapiens (Human)	385
Q9Y228	Q9Y228	T3JAM_HUMAN	reviewed	TRAF3-interacting JNK-activating modulator (TRAF3-interacting protein 3)	TRAF3IP3 T3JAM	Homo sapiens (Human)	551
Q9Y3R4	Q9Y3R4	NEUR2_HUMAN	reviewed	Sialidase-2 (EC 3.2.1.18) (Cytosolic sialidase) (N-acetyl-alpha-neuraminidase 2)	NEU2	Homo sapiens (Human)	380
Q96MT3	Q96MT3	PRIC1_HUMAN	reviewed	Prickle-like protein 1 (REST/NRSF-interacting LIM domain protein 1)	PRICKLE1 RILP	Homo sapiens (Human)	831
Q9NQ69	Q9NQ69	LHX9_HUMAN	reviewed	LIM/homeobox protein Lhx9 (LIM homeobox protein 9)	LHX9	Homo sapiens (Human)	397
P31513	P31513	FMO3_HUMAN	reviewed	Dimethylaniline monooxygenase [N-oxide-forming] 3 (EC 1.14.13.8) (EC 1.14.14.73) (Dimethylaniline oxidase 3) (FMO II) (FMO form 2) (Hepatic flavin-containing monooxygenase 3) (FMO 3) (Trimethylamine monooxygenase) (EC 1.14.13.148)	FMO3	Homo sapiens (Human)	532
P55058	P55058	PLTP_HUMAN	reviewed	Phospholipid transfer protein (Lipid transfer protein II)	PLTP	Homo sapiens (Human)	493
Q9BZD2	Q9BZD2	S29A3_HUMAN	reviewed	Equilibrative nucleoside transporter 3 (hENT3) (Solute carrier family 29 member 3)	SLC29A3 ENT3 UNQ717/PRO1380	Homo sapiens (Human)	475
Q9Y397	Q9Y397	ZDHC9_HUMAN	reviewed	Palmitoyltransferase ZDHHC9 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 9) (DHHC-9) (DHHC9) (Zinc finger protein 379) (Zinc finger protein 380)	ZDHHC9 CXorf11 ZDHHC10 ZNF379 ZNF380 CGI-89 UNQ261/PRO298	Homo sapiens (Human)	364
