yourlist:M20200510216DA2B77BFBD2E6699CA9B6D1C41EB286EFE0C	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q9Y617-1	Q9Y617	SERC_HUMAN	reviewed	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT)	PSAT1 PSA	Homo sapiens (Human)	370
Q8TDX5-2	Q8TDX5	ACMSD_HUMAN	reviewed	2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (EC 4.1.1.45) (Picolinate carboxylase)	ACMSD	Homo sapiens (Human)	336
Q96N77-4	Q96N77	ZN641_HUMAN	reviewed	Zinc finger protein 641	ZNF641	Homo sapiens (Human)	438
Q8WV41	Q8WV41	SNX33_HUMAN	reviewed	Sorting nexin-33 (SH3 and PX domain-containing protein 3)	SNX33 SH3PX3 SH3PXD3C SNX30	Homo sapiens (Human)	574
Q8IZP1-1	Q8IZP1	TBC3A_HUMAN	reviewed	TBC1 domain family member 3 (Prostate cancer gene 17 protein) (Protein TRE17-alpha) (Rab GTPase-activating protein PRC17)	TBC1D3 PRC17 TBC1D3A	Homo sapiens (Human)	549
Q8N543-1	Q8N543	OGFD1_HUMAN	reviewed	Prolyl 3-hydroxylase OGFOD1 (EC 1.14.11.-) (2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1) (Termination and polyadenylation 1 homolog) (uS12 prolyl 3-hydroxylase)	OGFOD1 KIAA1612 TPA1	Homo sapiens (Human)	542
Q14247-3	Q14247	SRC8_HUMAN	reviewed	Src substrate cortactin (Amplaxin) (Oncogene EMS1)	CTTN EMS1	Homo sapiens (Human)	550
Q8NBF2-1	Q8NBF2	NHLC2_HUMAN	reviewed	NHL repeat-containing protein 2	NHLRC2	Homo sapiens (Human)	726
P13521	P13521	SCG2_HUMAN	reviewed	Secretogranin-2 (Chromogranin-C) (Secretogranin II) (SgII) [Cleaved into: Secretoneurin (SN); Manserin]	SCG2 CHGC	Homo sapiens (Human)	617
O14950	O14950	ML12B_HUMAN	reviewed	Myosin regulatory light chain 12B (MLC-2A) (MLC-2) (Myosin regulatory light chain 2-B, smooth muscle isoform) (Myosin regulatory light chain 20 kDa) (MLC20) (Myosin regulatory light chain MRLC2) (SHUJUN-1)	MYL12B MRLC2 MYLC2B	Homo sapiens (Human)	172
Q16864-1	Q16864	VATF_HUMAN	reviewed	V-type proton ATPase subunit F (V-ATPase subunit F) (V-ATPase 14 kDa subunit) (Vacuolar proton pump subunit F)	ATP6V1F ATP6S14 VATF	Homo sapiens (Human)	119
P46019	P46019	KPB2_HUMAN	reviewed	Phosphorylase b kinase regulatory subunit alpha, liver isoform (Phosphorylase kinase alpha L subunit)	PHKA2 PHKLA PYK	Homo sapiens (Human)	1235
O00425-1	O00425	IF2B3_HUMAN	reviewed	Insulin-like growth factor 2 mRNA-binding protein 3 (IGF2 mRNA-binding protein 3) (IMP-3) (IGF-II mRNA-binding protein 3) (KH domain-containing protein overexpressed in cancer) (hKOC) (VICKZ family member 3)	IGF2BP3 IMP3 KOC1 VICKZ3	Homo sapiens (Human)	579
Q8IXS8	Q8IXS8	F126B_HUMAN	reviewed	Protein FAM126B	FAM126B	Homo sapiens (Human)	530
Q6UUV7-1	Q6UUV7	CRTC3_HUMAN	reviewed	CREB-regulated transcription coactivator 3 (Transducer of regulated cAMP response element-binding protein 3) (TORC-3) (Transducer of CREB protein 3)	CRTC3 TORC3	Homo sapiens (Human)	619
E9PPJ0	E9PPJ0	E9PPJ0_HUMAN	unreviewed	Splicing factor 3B subunit 2	SF3B2	Homo sapiens (Human)	878
Q96MT3	Q96MT3	PRIC1_HUMAN	reviewed	Prickle-like protein 1 (REST/NRSF-interacting LIM domain protein 1)	PRICKLE1 RILP	Homo sapiens (Human)	831
Q96KA5-1	Q96KA5	CLP1L_HUMAN	reviewed	Cleft lip and palate transmembrane protein 1-like protein (CLPTM1-like protein) (Cisplatin resistance-related protein 9) (CRR9p)	CLPTM1L CRR9	Homo sapiens (Human)	538
P56597	P56597	NDK5_HUMAN	reviewed	Nucleoside diphosphate kinase homolog 5 (NDK-H 5) (NDP kinase homolog 5) (Inhibitor of p53-induced apoptosis-beta) (IPIA-beta) (Testis-specific nm23 homolog) (nm23-H5)	NME5	Homo sapiens (Human)	212
Q86WW8	Q86WW8	COA5_HUMAN	reviewed	Cytochrome c oxidase assembly factor 5	COA5 C2orf64	Homo sapiens (Human)	74
Q86UP9	Q86UP9	LHPL3_HUMAN	reviewed	LHFPL tetraspan subfamily member 3 protein (Lipoma HMGIC fusion partner-like 3 protein)	LHFPL3 LHFPL4	Homo sapiens (Human)	236
Q8NEA5	Q8NEA5	CS018_HUMAN	reviewed	Uncharacterized protein C19orf18	C19orf18	Homo sapiens (Human)	215
Q92785-1	Q92785	REQU_HUMAN	reviewed	Zinc finger protein ubi-d4 (Apoptosis response zinc finger protein) (BRG1-associated factor 45D) (BAF45D) (D4, zinc and double PHD fingers family 2) (Protein requiem)	DPF2 BAF45D REQ UBID4	Homo sapiens (Human)	391
Q9NV79-1	Q9NV79	PCMD2_HUMAN	reviewed	Protein-L-isoaspartate O-methyltransferase domain-containing protein 2	PCMTD2 C20orf36	Homo sapiens (Human)	361
Q96DY2-2	Q96DY2	DRC10_HUMAN	reviewed	Dynein regulatory complex protein 10 (IQ domain-containing protein D)	IQCD DRC10	Homo sapiens (Human)	449
Q9H902-1	Q9H902	REEP1_HUMAN	reviewed	Receptor expression-enhancing protein 1 (Spastic paraplegia 31 protein)	REEP1 C2orf23 SPG31	Homo sapiens (Human)	201
Q330K2-3	Q330K2	NDUF6_HUMAN	reviewed	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6 (Putative phytoene synthase)	NDUFAF6 C8orf38	Homo sapiens (Human)	333
P30518-1	P30518	V2R_HUMAN	reviewed	Vasopressin V2 receptor (V2R) (AVPR V2) (Antidiuretic hormone receptor) (Renal-type arginine vasopressin receptor)	AVPR2 ADHR DIR DIR3 V2R	Homo sapiens (Human)	371
Q96CN5	Q96CN5	LRC45_HUMAN	reviewed	Leucine-rich repeat-containing protein 45	LRRC45	Homo sapiens (Human)	670
Q86TD4-2	Q86TD4	SRCA_HUMAN	reviewed	Sarcalumenin	SRL	Homo sapiens (Human)	932
Q6XD76	Q6XD76	ASCL4_HUMAN	reviewed	Achaete-scute homolog 4 (ASH-4) (hASH4) (Achaete-scute-like protein 4) (Class A basic helix-loop-helix protein 44) (bHLHa44)	ASCL4 BHLHA44 HASH4	Homo sapiens (Human)	172
Q15126	Q15126	PMVK_HUMAN	reviewed	Phosphomevalonate kinase (PMKase) (hPMK) (EC 2.7.4.2)	PMVK PMKI	Homo sapiens (Human)	192
Q12772-1	Q12772	SRBP2_HUMAN	reviewed	Sterol regulatory element-binding protein 2 (SREBP-2) (Class D basic helix-loop-helix protein 2) (bHLHd2) (Sterol regulatory element-binding transcription factor 2) [Cleaved into: Processed sterol regulatory element-binding protein 2]	SREBF2 BHLHD2 SREBP2	Homo sapiens (Human)	1141
Q9NWH2	Q9NWH2	TM242_HUMAN	reviewed	Transmembrane protein 242	TMEM242 C6orf35 BM-033 HSPC287	Homo sapiens (Human)	141
A0A0C4DFN2	A0A0C4DFN2	A0A0C4DFN2_HUMAN	unreviewed	Glucokinase (Hexokinase 4) regulator (Glucokinase regulatory protein)	GCKR hCG_21226	Homo sapiens (Human)	625
Q9BQT9-1	Q9BQT9	CSTN3_HUMAN	reviewed	Calsyntenin-3 (Alcadein-beta) (Alc-beta)	CLSTN3 CS3 KIAA0726	Homo sapiens (Human)	956
P50479-1	P50479	PDLI4_HUMAN	reviewed	PDZ and LIM domain protein 4 (LIM protein RIL) (Reversion-induced LIM protein)	PDLIM4 RIL	Homo sapiens (Human)	330
Q9ULA0	Q9ULA0	DNPEP_HUMAN	reviewed	Aspartyl aminopeptidase (EC 3.4.11.21)	DNPEP ASPEP DAP	Homo sapiens (Human)	475
O94992	O94992	HEXI1_HUMAN	reviewed	Protein HEXIM1 (Cardiac lineage protein 1) (Estrogen down-regulated gene 1 protein) (Hexamethylene bis-acetamide-inducible protein 1) (Menage a quatre protein 1)	HEXIM1 CLP1 EDG1 HIS1 MAQ1	Homo sapiens (Human)	359
Q96M95-2	Q96M95	CCD42_HUMAN	reviewed	Coiled-coil domain-containing protein 42	CCDC42 CCDC42A	Homo sapiens (Human)	316
Q14654	Q14654	KCJ11_HUMAN	reviewed	ATP-sensitive inward rectifier potassium channel 11 (IKATP) (Inward rectifier K(+) channel Kir6.2) (Potassium channel, inwardly rectifying subfamily J member 11)	KCNJ11	Homo sapiens (Human)	390
Q6IPM2-1	Q6IPM2	IQCE_HUMAN	reviewed	IQ domain-containing protein E	IQCE KIAA1023	Homo sapiens (Human)	695
Q6IE81-3	Q6IE81	JADE1_HUMAN	reviewed	Protein Jade-1 (Jade family PHD finger protein 1) (PHD finger protein 17)	JADE1 KIAA1807 PHF17	Homo sapiens (Human)	842
Q8N4E4	Q8N4E4	PDCL2_HUMAN	reviewed	Phosducin-like protein 2	PDCL2	Homo sapiens (Human)	241
O75582-2	O75582	KS6A5_HUMAN	reviewed	Ribosomal protein S6 kinase alpha-5 (S6K-alpha-5) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 5) (Nuclear mitogen- and stress-activated protein kinase 1) (RSK-like protein kinase) (RSKL)	RPS6KA5 MSK1	Homo sapiens (Human)	802
Q7RTV2	Q7RTV2	GSTA5_HUMAN	reviewed	Glutathione S-transferase A5 (EC 2.5.1.18) (GST class-alpha member 5) (Glutathione S-transferase A5-5)	GSTA5	Homo sapiens (Human)	222
P0C7M6	P0C7M6	IQCF3_HUMAN	reviewed	IQ domain-containing protein F3	IQCF3	Homo sapiens (Human)	154
Q9UQL6-1	Q9UQL6	HDAC5_HUMAN	reviewed	Histone deacetylase 5 (HD5) (EC 3.5.1.98) (Antigen NY-CO-9)	HDAC5 KIAA0600	Homo sapiens (Human)	1122
Q8NDT2-1	Q8NDT2	RB15B_HUMAN	reviewed	Putative RNA-binding protein 15B (One-twenty two protein 3) (HsOTT3) (HuOTT3) (RNA-binding motif protein 15B)	RBM15B OTT3	Homo sapiens (Human)	890
Q9NS26	Q9NS26	SPNXA_HUMAN	reviewed	Sperm protein associated with the nucleus on the X chromosome A (Cancer/testis antigen 11.1) (CT11.1) (Nuclear-associated protein SPAN-Xa) (SPAN-X) (SPANX-A) (SPANX family member A)	SPANXA1 SPANXA; SPANXA2	Homo sapiens (Human)	97
P0DN79	P0DN79	CBSL_HUMAN	reviewed	Cystathionine beta-synthase-like protein (EC 4.2.1.22) (Beta-thionase) (Serine sulfhydrase)	CBSL	Homo sapiens (Human)	551
Q4LDG9-3	Q4LDG9	DNAL1_HUMAN	reviewed	Dynein light chain 1, axonemal (LC1)	DNAL1 C14orf168	Homo sapiens (Human)	190
O95711	O95711	LY86_HUMAN	reviewed	Lymphocyte antigen 86 (Ly-86) (Protein MD-1)	LY86 MD1	Homo sapiens (Human)	162
O43813	O43813	LANC1_HUMAN	reviewed	Glutathione S-transferase LANCL1 (EC 2.5.1.18) (40 kDa erythrocyte membrane protein) (p40) (LanC-like protein 1)	LANCL1 GPR69A	Homo sapiens (Human)	399
Q9H2F9	Q9H2F9	CCD68_HUMAN	reviewed	Coiled-coil domain-containing protein 68 (Cutaneous T-cell lymphoma-associated antigen se57-1) (CTCL-associated antigen se57-1)	CCDC68	Homo sapiens (Human)	335
P48039	P48039	MTR1A_HUMAN	reviewed	Melatonin receptor type 1A (Mel-1A-R) (Mel1a receptor)	MTNR1A	Homo sapiens (Human)	350
P11230-1	P11230	ACHB_HUMAN	reviewed	Acetylcholine receptor subunit beta	CHRNB1 ACHRB CHRNB	Homo sapiens (Human)	501
P43320	P43320	CRBB2_HUMAN	reviewed	Beta-crystallin B2 (Beta-B2 crystallin) (Beta-crystallin Bp)	CRYBB2 CRYB2 CRYB2A	Homo sapiens (Human)	205
Q05513-1	Q05513	KPCZ_HUMAN	reviewed	Protein kinase C zeta type (EC 2.7.11.13) (nPKC-zeta)	PRKCZ PKC2	Homo sapiens (Human)	592
Q99990	Q99990	VGLL1_HUMAN	reviewed	Transcription cofactor vestigial-like protein 1 (Vgl-1) (Protein TONDU)	VGLL1 TDU	Homo sapiens (Human)	258
Q9UBS8-1	Q9UBS8	RNF14_HUMAN	reviewed	E3 ubiquitin-protein ligase RNF14 (EC 2.3.2.31) (Androgen receptor-associated protein 54) (HFB30) (RING finger protein 14) (Triad2 protein)	RNF14 ARA54 HRIHFB2038	Homo sapiens (Human)	474
C9JWZ0	C9JWZ0	C9JWZ0_HUMAN	unreviewed	Cordon-bleu protein-like 1 (Fragment)	COBLL1	Homo sapiens (Human)	138
O15245-1	O15245	S22A1_HUMAN	reviewed	Solute carrier family 22 member 1 (Organic cation transporter 1) (hOCT1)	SLC22A1 OCT1	Homo sapiens (Human)	554
P39019	P39019	RS19_HUMAN	reviewed	40S ribosomal protein S19 (Small ribosomal subunit protein eS19)	RPS19	Homo sapiens (Human)	145
P30279-1	P30279	CCND2_HUMAN	reviewed	G1/S-specific cyclin-D2	CCND2	Homo sapiens (Human)	289
Q99593-1	Q99593	TBX5_HUMAN	reviewed	T-box transcription factor TBX5 (T-box protein 5)	TBX5	Homo sapiens (Human)	518
O60469-1	O60469	DSCAM_HUMAN	reviewed	Down syndrome cell adhesion molecule (CHD2)	DSCAM	Homo sapiens (Human)	2012
P27694	P27694	RFA1_HUMAN	reviewed	Replication protein A 70 kDa DNA-binding subunit (RP-A p70) (Replication factor A protein 1) (RF-A protein 1) (Single-stranded DNA-binding protein) [Cleaved into: Replication protein A 70 kDa DNA-binding subunit, N-terminally processed]	RPA1 REPA1 RPA70	Homo sapiens (Human)	616
Q92551-1	Q92551	IP6K1_HUMAN	reviewed	Inositol hexakisphosphate kinase 1 (InsP6 kinase 1) (EC 2.7.4.21) (Inositol hexaphosphate kinase 1)	IP6K1 IHPK1 KIAA0263	Homo sapiens (Human)	441
O75553-5	O75553	DAB1_HUMAN	reviewed	Disabled homolog 1	DAB1	Homo sapiens (Human)	588
Q9BTE7	Q9BTE7	DCNL5_HUMAN	reviewed	DCN1-like protein 5 (DCUN1 domain-containing protein 5) (Defective in cullin neddylation protein 1-like protein 5)	DCUN1D5	Homo sapiens (Human)	237
K7EJS8	K7EJS8	K7EJS8_HUMAN	unreviewed	Kin of IRRE-like protein 2	KIRREL2	Homo sapiens (Human)	673
Q29RF7-3	Q29RF7	PDS5A_HUMAN	reviewed	Sister chromatid cohesion protein PDS5 homolog A (Cell proliferation-inducing gene 54 protein) (Sister chromatid cohesion protein 112) (SCC-112)	PDS5A KIAA0648 PDS5 PIG54	Homo sapiens (Human)	1337
Q0VG06-1	Q0VG06	FP100_HUMAN	reviewed	Fanconi anemia core complex-associated protein 100 (Fanconi anemia-associated protein of 100 kDa)	FAAP100 C17orf70	Homo sapiens (Human)	881
Q6ZN54-2	Q6ZN54	DEFI8_HUMAN	reviewed	Differentially expressed in FDCP 8 homolog (DEF-8)	DEF8	Homo sapiens (Human)	512
O95139-1	O95139	NDUB6_HUMAN	reviewed	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6 (Complex I-B17) (CI-B17) (NADH-ubiquinone oxidoreductase B17 subunit)	NDUFB6	Homo sapiens (Human)	128
Q9H000-1	Q9H000	MKRN2_HUMAN	reviewed	Probable E3 ubiquitin-protein ligase makorin-2 (EC 2.3.2.27) (RING finger protein 62) (RING-type E3 ubiquitin transferase makorin-2)	MKRN2 RNF62 HSPC070	Homo sapiens (Human)	416
P39905-1	P39905	GDNF_HUMAN	reviewed	Glial cell line-derived neurotrophic factor (hGDNF) (Astrocyte-derived trophic factor) (ATF)	GDNF	Homo sapiens (Human)	211
Q14376-1	Q14376	GALE_HUMAN	reviewed	UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase) (UDP-N-acetylgalactosamine 4-epimerase) (UDP-GalNAc 4-epimerase) (UDP-N-acetylglucosamine 4-epimerase) (UDP-GlcNAc 4-epimerase) (EC 5.1.3.7) (UDP-galactose 4-epimerase)	GALE	Homo sapiens (Human)	348
O94806-1	O94806	KPCD3_HUMAN	reviewed	Serine/threonine-protein kinase D3 (EC 2.7.11.13) (Protein kinase C nu type) (Protein kinase EPK2) (nPKC-nu)	PRKD3 EPK2 PRKCN	Homo sapiens (Human)	890
O14904	O14904	WNT9A_HUMAN	reviewed	Protein Wnt-9a (Protein Wnt-14)	WNT9A WNT14	Homo sapiens (Human)	365
O00762-1	O00762	UBE2C_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 C (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme C) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme C) (UbcH10) (Ubiquitin carrier protein C) (Ubiquitin-protein ligase C)	UBE2C UBCH10	Homo sapiens (Human)	179
Q86XP6	Q86XP6	GKN2_HUMAN	reviewed	Gastrokine-2 (Blottin) (Down-regulated in gastric cancer) (Trefoil factor interactions(z) 1)	GKN2 BLOT GDDR TFIZ1 UNQ465/PRO813	Homo sapiens (Human)	184
P15311	P15311	EZRI_HUMAN	reviewed	Ezrin (Cytovillin) (Villin-2) (p81)	EZR VIL2	Homo sapiens (Human)	586
O14901-1	O14901	KLF11_HUMAN	reviewed	Krueppel-like factor 11 (Transforming growth factor-beta-inducible early growth response protein 2) (TGFB-inducible early growth response protein 2) (TIEG-2)	KLF11 FKLF TIEG2	Homo sapiens (Human)	512
Q96EK4	Q96EK4	THA11_HUMAN	reviewed	THAP domain-containing protein 11	THAP11 HRIHFB2206	Homo sapiens (Human)	314
Q7RTU0	Q7RTU0	TCF24_HUMAN	reviewed	Transcription factor 24 (TCF-24)	TCF24	Homo sapiens (Human)	167
Q13588	Q13588	GRAP_HUMAN	reviewed	GRB2-related adapter protein	GRAP	Homo sapiens (Human)	217
Q8IY33-1	Q8IY33	MILK2_HUMAN	reviewed	MICAL-like protein 2 (Junctional Rab13-binding protein) (Molecule interacting with CasL-like 2) (MICAL-L2)	MICALL2 JRAB	Homo sapiens (Human)	904
Q9H5K3	Q9H5K3	SG196_HUMAN	reviewed	Protein O-mannose kinase (POMK) (EC 2.7.1.183) (Protein kinase-like protein SgK196) (Sugen kinase 196)	POMK SGK196	Homo sapiens (Human)	350
Q9BXI6-1	Q9BXI6	TB10A_HUMAN	reviewed	TBC1 domain family member 10A (EBP50-PDX interactor of 64 kDa) (EPI64 protein) (Rab27A-GAP-alpha)	TBC1D10A EPI64 TBC1D10	Homo sapiens (Human)	508
O15467	O15467	CCL16_HUMAN	reviewed	C-C motif chemokine 16 (Chemokine CC-4) (HCC-4) (Chemokine LEC) (IL-10-inducible chemokine) (LCC-1) (Liver-expressed chemokine) (Lymphocyte and monocyte chemoattractant) (LMC) (Monotactin-1) (MTN-1) (NCC-4) (Small-inducible cytokine A16)	CCL16 ILINCK NCC4 SCYA16	Homo sapiens (Human)	120
Q9BRV3-1	Q9BRV3	SWET1_HUMAN	reviewed	Sugar transporter SWEET1 (HsSWEET1) (RAG1-activating protein 1) (Solute carrier family 50 member 1) (Stromal cell protein)	SLC50A1 RAG1AP1 SCP	Homo sapiens (Human)	221
Q06124-3	Q06124	PTN11_HUMAN	reviewed	Tyrosine-protein phosphatase non-receptor type 11 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1D) (PTP-1D) (Protein-tyrosine phosphatase 2C) (PTP-2C) (SH-PTP2) (SHP-2) (Shp2) (SH-PTP3)	PTPN11 PTP2C SHPTP2	Homo sapiens (Human)	593
Q96PE7	Q96PE7	MCEE_HUMAN	reviewed	Methylmalonyl-CoA epimerase, mitochondrial (EC 5.1.99.1) (DL-methylmalonyl-CoA racemase)	MCEE	Homo sapiens (Human)	176
Q99767-2	Q99767	APBA2_HUMAN	reviewed	Amyloid-beta A4 precursor protein-binding family A member 2 (Adapter protein X11beta) (Neuron-specific X11L protein) (Neuronal Munc18-1-interacting protein 2) (Mint-2)	APBA2 MINT2 X11L	Homo sapiens (Human)	749
P32970-1	P32970	CD70_HUMAN	reviewed	CD70 antigen (CD27 ligand) (CD27-L) (Tumor necrosis factor ligand superfamily member 7) (CD antigen CD70)	CD70 CD27L CD27LG TNFSF7	Homo sapiens (Human)	193
Q13085-4	Q13085	ACACA_HUMAN	reviewed	Acetyl-CoA carboxylase 1 (ACC1) (EC 6.4.1.2) (Acetyl-Coenzyme A carboxylase alpha) (ACC-alpha)	ACACA ACAC ACC1 ACCA	Homo sapiens (Human)	2346
Q9NPG8	Q9NPG8	ZDHC4_HUMAN	reviewed	Probable palmitoyltransferase ZDHHC4 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 4) (DHHC-4) (Zinc finger protein 374)	ZDHHC4 ZNF374 DC1 UNQ5787/PRO19576	Homo sapiens (Human)	344
Q96EL3	Q96EL3	RM53_HUMAN	reviewed	39S ribosomal protein L53, mitochondrial (L53mt) (MRP-L53) (Mitochondrial large ribosomal subunit protein mL53)	MRPL53	Homo sapiens (Human)	112
Q5VWZ2-1	Q5VWZ2	LYPL1_HUMAN	reviewed	Lysophospholipase-like protein 1 (EC 3.1.2.-)	LYPLAL1	Homo sapiens (Human)	237
Q969P0-1	Q969P0	IGSF8_HUMAN	reviewed	Immunoglobulin superfamily member 8 (IgSF8) (CD81 partner 3) (Glu-Trp-Ile EWI motif-containing protein 2) (EWI-2) (Keratinocytes-associated transmembrane protein 4) (KCT-4) (LIR-D1) (Prostaglandin regulatory-like protein) (PGRL) (CD antigen CD316)	IGSF8 CD81P3 EWI2 KCT4	Homo sapiens (Human)	613
Q9UMS0-1	Q9UMS0	NFU1_HUMAN	reviewed	NFU1 iron-sulfur cluster scaffold homolog, mitochondrial (HIRA-interacting protein 5)	NFU1 HIRIP5 CGI-33	Homo sapiens (Human)	254
P06213-2	P06213	INSR_HUMAN	reviewed	Insulin receptor (IR) (EC 2.7.10.1) (CD antigen CD220) [Cleaved into: Insulin receptor subunit alpha; Insulin receptor subunit beta]	INSR	Homo sapiens (Human)	1382
Q5VV41-2	Q5VV41	ARHGG_HUMAN	reviewed	Rho guanine nucleotide exchange factor 16 (Ephexin-4)	ARHGEF16 EPHEXIN4 NBR	Homo sapiens (Human)	709
A0A087WYI5	A0A087WYI5	A0A087WYI5_HUMAN	unreviewed	Neuroblastoma breakpoint family member 14	NBPF14	Homo sapiens (Human)	867
Q96PX8	Q96PX8	SLIK1_HUMAN	reviewed	SLIT and NTRK-like protein 1 (Leucine-rich repeat-containing protein 12)	SLITRK1 KIAA1910 LRRC12 UNQ233/PRO266	Homo sapiens (Human)	696
Q9P2X0-2	Q9P2X0	DPM3_HUMAN	reviewed	Dolichol-phosphate mannosyltransferase subunit 3 (Dolichol-phosphate mannose synthase subunit 3) (DPM synthase subunit 3) (Dolichyl-phosphate beta-D-mannosyltransferase subunit 3) (Mannose-P-dolichol synthase subunit 3) (MPD synthase subunit 3) (Prostin-1)	DPM3	Homo sapiens (Human)	92
Q9NXJ0-1	Q9NXJ0	M4A12_HUMAN	reviewed	Membrane-spanning 4-domains subfamily A member 12	MS4A12	Homo sapiens (Human)	267
O60931-2	O60931	CTNS_HUMAN	reviewed	Cystinosin	CTNS	Homo sapiens (Human)	367
Q9NR55	Q9NR55	BATF3_HUMAN	reviewed	Basic leucine zipper transcriptional factor ATF-like 3 (B-ATF-3) (21 kDa small nuclear factor isolated from T-cells) (Jun dimerization protein p21SNFT)	BATF3 SNFT	Homo sapiens (Human)	127
Q6EKJ0-1	Q6EKJ0	GTD2B_HUMAN	reviewed	General transcription factor II-I repeat domain-containing protein 2B (GTF2I repeat domain-containing protein 2B) (Transcription factor GTF2IRD2-beta)	GTF2IRD2B	Homo sapiens (Human)	949
H7C1N6	H7C1N6	H7C1N6_HUMAN		Deleted.			
Q8IUB3-1	Q8IUB3	WF10B_HUMAN	reviewed	Protein WFDC10B	WFDC10B WAP12	Homo sapiens (Human)	73
Q9BXU8	Q9BXU8	FHL17_HUMAN	reviewed	Ferritin heavy polypeptide-like 17 (Cancer/testis antigen 38) (CT38)	FTHL17	Homo sapiens (Human)	183
P56182	P56182	RRP1_HUMAN	reviewed	Ribosomal RNA processing protein 1 homolog A (Novel nuclear protein 1) (NNP-1) (Nucleolar protein Nop52) (RRP1-like protein)	RRP1 D21S2056E NNP1 NOP52 RRP1A	Homo sapiens (Human)	461
Q9UL41	Q9UL41	PNMA3_HUMAN	reviewed	Paraneoplastic antigen Ma3	PNMA3 MA3	Homo sapiens (Human)	463
P10415-1	P10415	BCL2_HUMAN	reviewed	Apoptosis regulator Bcl-2	BCL2	Homo sapiens (Human)	239
Q7L8L6	Q7L8L6	FAKD5_HUMAN	reviewed	FAST kinase domain-containing protein 5, mitochondrial	FASTKD5 KIAA1792	Homo sapiens (Human)	764
Q86VI1	Q86VI1	EX3L1_HUMAN	reviewed	Exocyst complex component 3-like protein (Protein Jiangli)	EXOC3L1 EXOC3L	Homo sapiens (Human)	746
Q13630	Q13630	FCL_HUMAN	reviewed	GDP-L-fucose synthase (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase) (Protein FX) (Red cell NADP(H)-binding protein) (Short-chain dehydrogenase/reductase family 4E member 1)	TSTA3 SDR4E1	Homo sapiens (Human)	321
Q8IYK4	Q8IYK4	GT252_HUMAN	reviewed	Procollagen galactosyltransferase 2 (EC 2.4.1.50) (Collagen beta(1-O)galactosyltransferase 2) (ColGalT 2) (Glycosyltransferase 25 family member 2) (Hydroxylysine galactosyltransferase 2)	COLGALT2 C1orf17 GLT25D2 KIAA0584	Homo sapiens (Human)	626
P14616	P14616	INSRR_HUMAN	reviewed	Insulin receptor-related protein (IRR) (EC 2.7.10.1) (IR-related receptor) [Cleaved into: Insulin receptor-related protein alpha chain; Insulin receptor-related protein beta chain]	INSRR IRR	Homo sapiens (Human)	1297
H0Y3H0	H0Y3H0	H0Y3H0_HUMAN	unreviewed	Interferon-induced transmembrane protein 10	IFITM10	Homo sapiens (Human)	128
Q495X7	Q495X7	TRI60_HUMAN	reviewed	Tripartite motif-containing protein 60 (RING finger protein 129) (RING finger protein 33)	TRIM60 RNF129 RNF33	Homo sapiens (Human)	471
O94919	O94919	ENDD1_HUMAN	reviewed	Endonuclease domain-containing 1 protein (EC 3.1.30.-)	ENDOD1 KIAA0830	Homo sapiens (Human)	500
Q9H3L0	Q9H3L0	MMAD_HUMAN	reviewed	Methylmalonic aciduria and homocystinuria type D protein, mitochondrial (CblD)	MMADHC C2orf25 CL25022 HSPC161 My011	Homo sapiens (Human)	296
Q9P267-2	Q9P267	MBD5_HUMAN	reviewed	Methyl-CpG-binding domain protein 5 (Methyl-CpG-binding protein MBD5)	MBD5 KIAA1461	Homo sapiens (Human)	1494
Q6UX15-2	Q6UX15	LAYN_HUMAN	reviewed	Layilin	LAYN UNQ208/PRO234	Homo sapiens (Human)	382
A0A0A0MR69	A0A0A0MR69	A0A0A0MR69_HUMAN	unreviewed	Protein Daple	CCDC88C	Homo sapiens (Human)	506
Q6IPX1	Q6IPX1	TBC3C_HUMAN	reviewed	TBC1 domain family member 3C	TBC1D3C TBC1D3D	Homo sapiens (Human)	549
C9JYT9	C9JYT9	C9JYT9_HUMAN	unreviewed	Vacuolar protein sorting-associated protein 37D	VPS37D	Homo sapiens (Human)	166
P62906	P62906	RL10A_HUMAN	reviewed	60S ribosomal protein L10a (CSA-19) (Large ribosomal subunit protein uL1) (Neural precursor cell expressed developmentally down-regulated protein 6) (NEDD-6)	RPL10A NEDD6	Homo sapiens (Human)	217
